To abhor;[əbˈhɔː];Ненавидеть
measurability;[ˌmɛʒərəˈbɪlɪti];Исчислимость, измеримость, измерение
homeschooler;[həʊm skuːlə];Ученик на домашнем обучении
worksheet;[ˈwɜːkˌʃiːt];Рабочий лист, таблица
galore;[gəˈlɔː];Множество, куча, обилиие
prompt;[prɒmpt];Подсказка, совет
membership;[ˈmɛmbəʃɪp];Членство, участие, принадлежность, состав
progress tracker;[ˈprəʊgrəs ˈtrækə];Трекер прогресса
sequence;[ˈsiːkwəns];Последовательность, порядок, очередь
undergraduate;[ˌʌndəˈgrædjʊɪt];Бакалавр, ученик
degree;[dɪˈgriː];Степень, диплом
carer;[ˈkeərə];Воспитатель, опекун
transition;[trænˈzɪʃ(ə)n];Переход, превращение
recognition;[ˌrɛkəgˈnɪʃən];Признание, осознание
workforce;[wɜːkˌfɔːs];Рабочая сила, кадры
volunteering;[ˌvɒlənˈtɪərɪŋ];Волонтерство
internship;[ˈɪntɜːnʃɪp];Стажировка, интернатура
accommodation;[əˌkɒməˈdeɪʃ(ə)n];Проживание, размещение, жилье
enrolment;[əˌkɒməˈdeɪʃ(ə)n];Зачисление, набор, поступление
guideline;[ˈgaɪdlaɪn];Рекомендация, инструкция
hub;[hʌb];Центр, средоточие, концентратор
piety;[ˈpaɪəti];Благочестие
impact;[ˈɪmpækt];Последствие, результат, влияние
well-being;[wɛl-ˈbiːɪŋ];Благополучие
reasoning;[ˈriːznɪŋ];Довод, логика, обоснование
incursion;[ɪnˈkɜːʃən];Нарушение, столкновение
venue;[ˈvɛnjuː];Место проведения
doorstep;[ˈdɔːstɛp];Порог квартиры
supervisor;[ˈsjuːpəvaɪzə];Супервайзер
affirmation;[ˌæfɜːˈmeɪʃ(ə)n];Утверждение, подтверждение
uptick;[ʌp tɪk];Стимул, увеличение, толчок, подъем
drop-off;[drɒp-ɒf];Спад, снижение, упадок
conversation;[kɒnvəˈseɪʃən];Разговор, беседа, обсуждение
indifference;[ɪnˈdɪfrəns];Безразличие, безучастие
ageism;[ˈeɪʤɪz(ə)m];Эйджизм
segmentation;[sɛgmɛnˈteɪʃən];Сегментация
landmark;[ˈlændmɑːk];Веха, ориентир, достопримечательность
upheaval;[ʌpˈhiːvəl];Переворот, катастрофа, волнение
harassment;[ˈhærəsmənt];Преследование, домогательство
disarray;[dɪsəˈreɪ];Беспорядок, разброд
proof;[pruːf];Доказательство
influx;[ˈɪnflʌks];Наплыв, приток
struggle;[ˈstrʌgl];Борьба, поединок, спор
loneliness;[ˈləʊnlɪnəs];Одиночество, уединение
mental health;[ˈmɛntl hɛlθ];Психическое здоровье
authenticity;[ˌɔːθɛnˈtɪsɪti];Подлинность, самобытность
donation;[dəʊˈneɪʃən];Пожертвование, донорство
backlash;[ˈbæklæʃ];Обратная реакция
connotation;[kɒnəʊˈteɪʃən];Подтекст, смысл, намек
affinity;[ əˈfɪnɪti];Близость, сходство, симпатия
diversification;[daɪˌvɜːsɪfɪˈkeɪʃən];Диверсификация, разнообразие
takeover;[pteɪkˌəʊvə];Поглощение
feminism;[ˈfɛmɪnɪzm];Феминизм
equality;[i(ː)ˈkwɒlɪti];Равенство
sustainability;[səsˌteɪnəˈbɪlɪti];Устойчивость, стабильность
chunk;[ʧʌŋk];Кусок, ломоть, глыба
repercussion;[ˌriːpɜːˈkʌʃən];Последствия, отзвук
preference;[ˈprɛfərəns];Предпочтение, преимущество
aspiration;[ˌæspəˈreɪʃ(ə)n];Стремление, желание
consumption;[kənˈsʌm(p)ʃən];Потребление, расход
mismanagement;[ˌmɪsˈmænɪʤmənt];Бесхозяйственность
keynote;[ˈkiːnəʊt];Лейтмотив
rivalry;[ˈraɪvəlri];Соперничество, противостояние
disparity;[dɪsˈpærɪti];Несоответствие, неравенство
repayment;[riːˈpeɪmənt];Расплата, погашение, возврат
allegation;[ˌælɪˈgeɪʃ(ə)n];Обвинение, утверждение
prevalence;[ˈprɛvələns];Распространенность, преобладание
nostalgia;[nɒstˈælʤɪə];Ностальгия, сожаление
uplighting;[ʌp ˈlaɪtɪŋ];Освещение, просвещение
escapism;[ɪsˈkeɪpɪzm];Эскапизм, уход, бегство
nonfiction;[nɒnˈfɪkʃən];Нон-фикшн, нехудожественная литература
psychology;[saɪˈkɒləʤi];Психология
funnel;[ˈfʌnl];Воронка, водоворот
amateur;[ˈæmətə(ː)];Любитель, фанат
protagonist;[prəʊˈtægənɪst];Протагонист, главный герой
pinpoint;[ˈpɪnpɔɪnt];Точка опоры, привязка
announcement;[əˈnaʊnsmənt];Анонс, объявление
consequence;[ˈkɒnsɪkwəns];Заключение, следствие
exaggeration;[ɪgˌzæʤəˈreɪʃən];Преувеличение, утрирование
scrutiny;[ˈskruːtɪni];Исследование, тщательная проверка
blueprint;[ˈbluːprɪnt];План, проект, чертеж
expansion;[ɪksˈpænʃən];Развитие, расширение
extent;[ɪksˈtɛnt];Степень, размах, масштаб
victim;[ˈvɪktɪm];Жертва
ownership;[ˈəʊnəʃɪp];Право собственности, владение
mass-market;[mæs-ˈmɑːkɪt];Масс-маркет, массовая торговля
variety;[vəˈraɪəti];Многообразие, разновидность
headline;[ˈhɛdlaɪn];Заголовок, заглавие
allegation;[ˌælɪˈgeɪʃ(ə)n];Утверждение, заявление, обвинение
restriction;[rɪsˈtrɪkʃən];Ограничение, запрет
comprehension;[ˌkɒmprɪˈhɛnʃən];Понимание, осмысление
existence;[ɪgˈzɪstəns];Бытие, существование
counterpart;[ˈkaʊntəpɑːt];Аналог, двойник
goldmine;[ˈgəʊldmaɪn];Золотая жила
applause;[əˈplɔːz];Аплодисменты
satisfaction;[ˌsætɪsˈfækʃən];Удовлетворение, удовольствие
testimonial;[ˌtɛstəˈməʊniəl];Отзыв
empathy;[ˈɛmpəθi];Эмпатия
consideration;[kənˌsɪdəˈreɪʃən];Размышление, соображение
touchpoint;[tʌʧ pɔɪnt];Точка соприкосновения
jargon;[ˈʤɑːgən];Жаргон
background;[ˈbækgraʊnd];Предыстория
relief;[rɪˈliːf];Помощь, разрядка
perception;[pəˈsɛpʃən];Восприятие
stance;[stɑːns];Позиция, отношение
catharsis;[kəˈθɑːsɪs];Катарсис
solace;[ˈsɒləs];Утешение
Fast-changing;[fɑːst-ˈʧeɪnʤɪŋ];Быстро меняющийся
Highly skilled;[ˈhaɪli skɪld];Высококвалифицированный
Eligible;[ˈɛlɪʤəbl];Подходящий
Vibrant;[ˈvaɪbrənt];Жизнеспособный, яркий, живой
Lifelong;[ˈlaɪflɒŋ];Пожизненный
Fully furnished;[ˈfʊli ˈfɜːnɪʃt];Полностью обустроенный
Canonical;[kəˈnɒnɪkəl];Канонический
Research-based;[rɪˈsɜːʧ-beɪst];Основанный на исследованиях
Inspirational;[ˌɪnspəˈreɪʃən(ə)l];Вдохновляющий
Holistic;[həˈlɪstɪk];Целостный
Empirical;[ɛmˈpɪrɪkəl];Эмпирический
Fun-filled;[fʌn-fɪld];Наполненный весельем
Award-winning;[əˈwɔːd-ˈwɪnɪŋ];Отмеченный наградой, награжденный
Rapid;[ˈræpɪd];Быстрый
Job-ready;[ʤɒb-ˈrɛdi];Готовый к работе
Median;[ˈmiːdiən];Средний, медианный
Lucrative;[ˈluːkrətɪv];Выгодный
Savvy;[ˈsævi];Проницательный
Thoughtful;[θɔːtfʊl];Вдумчивый
Elusive;[ɪˈluːsɪv];Неуловимый
On-demand;[ɒn-dɪˈmɑːnd];Востребованный
Nonexistent;[nɒn ɪgˈzɪstənt];Несуществующий
Luxurious;[lʌgˈzjʊərɪəs];Роскошный
Entertaining;[ˌɛntəˈteɪnɪŋ];Развлекательный
Conscious;[ˈkɒnʃəs];Сознательный
Mythological;[ˌmɪθəˈlɒʤɪkəl];Мифологический
Prosaic;[prəʊˈzeɪɪk];Прозаический
Uplifting;[ʌpˈlɪftɪŋ];Поднимающий настроение
Looming;[ˈluːmɪŋ];Надвигающийся
People-first;[ˈpiːpl-fɜːst];Ориентированный на человека
User-generated;[ˈjuːzə-ˈʤɛnəreɪtɪd];Созданный пользователями
Experimental;[ɛksˌpɛrɪˈmɛntl];Экспериментальный
Aesthetic;[iːsˈθɛtɪk];Эстетический
Feasible;[ˈfiːzəbl];Осуществимый
Foreseeable;[fɔːˈsiːəbl];Предвидимый
Streamlined;[ˈstriːmlaɪnd];Оптимизированный, удобный, обтекаемый
Brand new;[brænd njuː];Инновационный
Ephemeral;[ɪˈfɛmərəl];Эфемерный
Prevalent;[ˈprɛvələnt];Распространенный
Sizable;[ˈsaɪzəbl];Большой
Shoppable;[ˈʃɒpəbl];Доступный для покупки
Stratospheric;[Strato ˈsfɛrɪk];Стратосферный
Major;[ˈmeɪʤə];Крупный, главный
Unprecedented;[ʌnˈprɛsɪdəntɪd];Беспрецедентный
Exorbitant;[ɪgˈzɔːbɪtənt];Непомерный
Artistic;[ɑːˈtɪstɪk];Художественный, творческий
Prospective;[prəsˈpɛktɪv;Перспективный
Like-minded;[ˈlaɪkˈmaɪndɪd];Похожий
Customer-centric;[ˈkʌstəmə-ˈsɛntrɪk];Ориентированный на клиента
Editorial;[ˌɛdɪˈtɔːrɪəl];Редакционный, редакторский
Solitary;[ˈsɒlɪtəri];Одиночный, уединенный
Controversial;[ˌkɒntrəˈvɜːʃəl];Спорный
Shareable;[ˈʃeərəbl];Делимый, разделяемый
Journalistic;[ˌʤɜːnəˈlɪstɪk];Журналистский
Elegiac;[ˌɛlɪˈʤaɪək];Элегический
Short-lived;[ʃɔːt-lɪvd];Недолговечный
Authoritative;[ɔːˈθɒrɪtətɪv];Авторитетный
Subsequent;[ˈsʌbsɪkwənt];Последующий
Unavoidable;[ˌʌnəˈvɔɪdəbl];Неизбежный
Disastrous;[dɪˈzɑːstrəs];Катастрофический
Collaboratively;[kəˈlæb(ə)rətɪvli];Совместно
Twofold;[ˈtuːfəʊld];Вдвойне
Backwards;[ˈbækwədz];Наоборот, назад
Alongside;[əˈlɒŋˈsaɪd];Наряду
Face-to-face;[feɪs-tuː-feɪs];Лицом к лицу
Increasingly;[ɪnˈkriːsɪŋli];Все чаще
Likewise;[ˈlaɪkwaɪz];Аналогично
Inherently;[ɪnˈhɪərəntli];По своей сути
Yearslong;[jɪəzlɒŋ];В течение года
Dramatically;[drəˈmætɪk(ə)li];Значительно
Overall;[ˈəʊvərɔːl];В целом
Sustainably;[səsˈteɪnˈeɪbli];Устойчиво
Thoroughly;[ˈθʌrəli];Тщательно
Radically;[ˈrædɪkəli];Радикально
Undeniably;[ˌʌndɪˈnaɪəbli];Бесспорно
Amongst;[əˈmʌŋst];Среди
Specifically;[spəˈsɪfɪk(ə)li];Конкретно
Unless;[ənˈlɛs];Если только
Seamless;[ˈsiːmlɪs];Беспрепятственно
Alternatively;[ɔːlˈtɜːnətɪvli];Альтернативно
Disproportionately;[ˌdɪsprəˈpɔːʃnɪtli];Непропорционально
Innermost;[ˈɪnəməʊst];Сокровенно
Midway;[ˈmɪdˈweɪ];Посредине
Unthinkable;[ʌnˈθɪŋkəbl];Немыслимо
Ruthlessly;[ˈruːθlɪsli];Беспощадно
Altogether;[ˌɔːltəˈgɛðə];В целом
Beneath;[bɪˈniːθ];Под, внизу
Factually;[ˈfækʧʊəli];По-настоящему
Indeed;[ɪnˈdiːd];Действительно
Occasionally;[əˈkeɪʒnəli];Время от времени
Plenty;[ˈplɛnti];Много, достаточно, полно
Anywise;[ˈɛnɪwaɪz];Как угодно
Somewhere;[ˈsʌmweə];Где-то
Throughout;[θru(ː)ˈaʊt];Повсюду
Scarcely;[ˈskeəsli];Скудно, редко
Weekly;[ˈwiːkli];Еженедельно
Quietly;[ˈkwaɪətli];Тихо
Rather too;[ˈrɑːðə tuː];Скорее слишком
Chiefly;[ˈʧiːfli];В основном
