To abate;[əˈbeɪt];Сокращать, уменшать, ослаблять
To rarefy;[ˈreərɪfaɪ];Редеть
To venerate;[ˈvɛnəreɪt];Почитать
To hatch;[hæʧ];Вылупляться
To anchor;[ˈæŋkə];Бросить якорь
To inherit;[ɪnˈhɛrɪt];Получить в наследство
To stab;[stæb];Закалывать, нападать, вонзать
To sublet;[ˌsʌbˈlɛt];Сдавать в субаренду
To outline;[ˈaʊtlaɪn];Начертить, обрисовать, наметить
To infiltrate;[ˈɪnfɪltreɪt];Проникнуь, внедриться, просачиваться
To utter;[ˈʌtə];Произносить, изрекать, проговаривать
To vituperate;[vɪˈtjuːpəreɪt];Издеваться, обижать
To waver;[ˈweɪvə];Колебаться, извиваться, дрогнуть
To withstand;[wɪðˈstænd];Выдерживать, устоять, терпеть
To swap;[swɒp];Поменять местами, сменить
To coax;[kəʊks];Соединить
To conspire;[kənˈspaɪə];Сговориться
To append;[əˈpɛnd];Приложить
To entail;[ɪnˈteɪl];Влечь за собой
To repine;[rɪˈpaɪn];Порицать
To glance;[glɑːns];Бросить взгляд, мельком глянуть
To resort;[rɪˈzɔːt];Прибегать
To substitute;[ˈsʌbstɪtjuːt];Заменить
To surpass;[sɜːˈpɑːs];Превзойти
To deem;[diːm];Считать
To prophesy;[ˈprɒfɪsaɪ];Пророчествовать
To unveil;[ʌnˈveɪl];Раскрыть
To discard;[ˈdɪskɑːd];Отказаться, списывать, отвергнуть
To eradicate;[ɪˈrædɪkeɪt];Искоренить
To propagate;[ˈprɒpəgeɪt];Распространять
To terminate;[ˈtɜːmɪneɪt];Прекратить
To engross;[ɪnˈgrəʊs];Захватить
To overtake;[ˌəʊvəˈteɪk];Обгонять, нагнать, преодолеть
To shield;[ ʃiːld];Укрыть, заслонить, оградить
To ingest;[ɪnˈʤɛst];Проглотить
To malign;[məˈlaɪn];Очернить
To exhibit;[ɪgˈzɪbɪt];Выставлять
To extirpate;[ˈɛkstɜːpeɪt];Уничтожить
To initiate;[ɪˈnɪʃɪɪt];Инициировать
To adjoy;[ ædʤɔɪ];Придерживаться
To delve;[dɛlv];Углубиться
to vow;[ vaʊ];Клясться, ручаться, обещать
to alienate;[ˈeɪliəneɪt];отчуждать
to reimburse;[ˌriːɪmˈbɜːs];возмещать
to disperse;[dɪsˈpɜːs];Рассеивать, расходиться
to overlook;[ˌəʊvəˈlʊk];упускать из виду
to dismantle;[dɪsˈmæntl];Демонтировать, разобрать, убрать, разрушить
to exhilarate;[ɪgˈzɪləreɪt];взбодриться
to thrill;[θrɪl];возбуждать
to underpin;[ˌʌndəˈpɪn];поддерживать
to follow-up;[ˈfɒləʊˈʌp];следить
to predispose;[ˌpriːdɪsˈpəʊz];Предрасполагать, склонять, располагать
to peer;[pɪə];Равняться, сравнивать, подглядывать
to intervene;[ˌɪntə(ː)ˈviːn];вмешиваться
to resonate;[ˈrɛzəˌneɪt];резонировать
to contradict;[ˌkɒntrəˈdɪkt];Противоречить, возражать, опровергнуть
to distil;[dɪsˈtɪl];Дистиллировать, смягчать, рассеивать
to mitigate;[ˈmɪtɪgeɪt];Смягчать, сгладить, ослабить
to bounce back;[baʊns bæk];Отскочить, вернуться, возвращаться, восстановиться
To indulge;[ɪnˈdʌlʤ];Побаловать, потакать, потворствовать
To sniff;[snɪf];Нюхать, принюхиваться, сопеть
Axis;[ˈæksɪs];Ось
modality;[məʊˈdælɪti];Метод, форма
Discerning;[dɪˈsɜːnɪŋ];распознавание
Similarity;[sɪmɪˈlærɪti];Сходство, подобие, аналогия
Pattern;[pætən];Образец, модель, схема
Sequencing;[ˈsiːkwənsɪŋ];Последовательность, порядок, упорядочивание
Anthropologist;[ˌænθrəˈpɒləʤɪst];Антрополог
Oversight;[ˈəʊvəsaɪt];Надзор, контроль
Exhibition;[ˌɛksɪˈbɪʃən];Выставка
Specimen;[ˈspɛsɪmɪn];Образец, модель, экспонат
Interference;[ˌɪntəˈfɪərəns];Интерференция, вмешательство
Bureaucracy;[bjʊəˈrɒkrəsi];Бюрократия
Generation;[ˌʤɛnəˈreɪʃən];Поколение
Evolutionist;[ˌiːvəˈluːʃənɪst];Эволюционист
Significance;[sɪgˈnɪfɪkəns];Значение, значимость, важность
Unveiling;[ʌnˈveɪlɪŋ];Разоблачение, раскрытие
Implication;[ˌɪmplɪˈkeɪʃən];Следствие, последствие, подтекст, влияние
Biomarker;[ˈbaɪəʊˈmɑːkə];Биомаркер
Offspring;[ˈɒfsprɪŋ];Потомство
Cognition;[kɒgˈnɪʃən];Познание
Prevalence;[kɒgˈnɪʃən];Распространенность, превалирование, предрасположенность
Conjecture;[kənˈʤɛkʧə];Догадка, гипотеза
Percentage;[pəˈsɛntɪʤ];Процент, процентовка
Existence;[ɪgˈzɪstəns];Существование, наличие
Assertion;[əˈsɜːʃ(ə)n];Утверждение, заявление
Correlation;[ˌkɒrɪˈleɪʃən];Соотношение, корреляция, взаимосвязь
Cohort;[ˈkəʊhɔːt];Когорта, выборка, совокупность
Extent;[ɪksˈtɛnt];Протяженность, объем, степень
Coherence;[kəʊˈhɪərəns];Когерентность, слаженность, связь
Abstractedness;[æbˈstræktɪdnɪs];Абстрактность
Gist;[ʤɪst];Суть, сущность, понятие, смысл
Likelihood;[ˈlaɪklɪhʊd];Вероятность, правдоподобность, достоверность
Instance;[ˈɪnstəns];Экземпляр, объект, вариант
Vindication;[ˌvɪndɪˈkeɪʃən];Доказательство
Ambiguity;[ˌæmbɪˈgju(ː)ɪti];Двусмысленность, неоднозначность
Perseverance;[ˌpɜːsɪˈvɪərəns];Настойчивость, упорство
Disobedience;[ˌdɪsəˈbiːdjəns];Непослушание, непокорность
Adolescent;[ˌædəʊˈlɛsnt];Подросток
Neuroticism;[njʊəˈrɒtɪkɪz(ə)m];Невротизм
Attempt;[əˈtɛmpt];Попытка, испытание
Willingness;[ˈwɪlɪŋnɪs];Готовность, желание, воля, стремление
Impulsivity;[ɪmˌpʌlˈsɪvətɪ];Импульсивность, порыв, побуждение
Proponent;[prəˈpəʊnənt];Сторонник
Irritability;[ˌɪrɪtəˈbɪlɪti];Раздражительность, вспыльчивость
Prison conviction;[ˈprɪzn kənˈvɪkʃən];Тюремное заключение, приговор
Anxiety;[æŋˈzaɪəti];Беспокойство, тревога, раздражительность
Restlessness;[ˈrɛstlɪsnɪs];Сдержанность, невозмутимость
Disparity;[dɪsˈpærɪti];Неравенство, несоответствие
Procrastination;[prəʊˌkræstɪˈneɪʃən];Прокрастинация
Downward;[ˈdaʊnwəd];Снижение, уныние
Self-restraint;[sɛlf-rɪsˈtreɪnt];Самоограничение, самоконтроль
Temptation;[tɛmpˈteɪʃən];Искушение, соблазн
Boundary-setting;[ˈbaʊndəri-ˈsɛtɪŋ];Установление границ
Distraction;[dɪsˈtrækʃən];Отвлечение, рассеянность
Compassion;[kəmˈpæʃən];Сострадание, сочувствие, жалость
Stigma;[ˈstɪgmə];Клеймо
Affection;[əˈfɛkʃ(ə)n];Привязанность, симпатия, любовь
Discrimination;[dɪsˌkrɪmɪˈneɪʃən];Дискриминация
Conscientiousness;[ˌkɒnʃɪˈɛnʃəsnəs];Совестливость, осознанность
Bias;[ˈbaɪəs];Предубеждение, предвзятость
Ingenuity;[ˌɪnʤɪˈnju(ː)ɪti];Изобретательность
Upbringing;[ˈʌpˌbrɪŋɪŋ];Воспитание
Deterrent;[dɪˈtɛrənt];Сдерживающий фактор
Multitude;[ˈmʌltɪtjuːd];Многочисленность, разнообразие
Inheritance;[ɪnˈhɛrɪtəns];Наследственность
Compromise;[ˈkɒmprəmaɪz];Компромисс, примирение
Untidiness;[ʌnˈtaɪdɪnɪs];Неопрятность, неряшливость
Footprint;[ˈfʊtprɪnt];След, отпечаток, воздействие
Conservationist;[ˌkɒnsə(ː)ˈveɪʃənɪst];Консерватор, хранитель, сторонник
Feasibility;[ˌkɒnsə(ː)ˈveɪʃənɪst];Осуществимость, обоснованность
Earthquake;[ˈɜːθkweɪk];Землетрясение
Stillness;[ˈstɪlnəs];Неподвижность, штиль, затишье
Contamination;[kənˌtæmɪˈneɪʃən];Загрязнение, заражение
Lifespan;[ˈlaɪfspæn];Продолжительность жизни
Wilderness;[ˈwɪldənɪs];Дикая природа
Predator;[ˈprɛdətə];Хищник
Overpopulation;[ˌəʊvəˌpɒpjʊˈleɪʃən];Перенаселение
Aftermath;[ˈɑːftəmæθ];Последствия
Wasteland;[ˈweɪstˌlænd];Пустошь
Grassland;[ˈgrɑːslænd];Пастбище
Cattle;[ˈkætl];Крупный рогатый скот
Carbon emission;[ˈkɑːbən ɪˈmɪʃən];Выброс углерода
Deteriorating;[dɪˈtɪərɪəreɪtɪŋ];Ухудшение, деградация
Erasure;[ɪˈreɪʒə];Стирание
Drought;[draʊt];Засуха
Dieback;[ˈdaɪˌbæk];Вымирание
Foraging;[ˈfɒrɪʤɪŋ];Кормление
Breeding;[ˈbriːdɪŋ];Размножение
Fluctuation;[ˌflʌktjʊˈeɪʃən];Колебания, зыбкость
Resilience;[rɪˈzɪlɪəns];Жизнеспособность, устойчивость
Hedgerow;[ˈhɛʤrəʊ];Живая изгородь
Ditche;[dɪtʃ]];Канава, траншея, сточная яма
Coastal;[ˈkəʊstəl];Прибрежная зона
Combustion;[kəmˈbʌsʧən];Сжигание, горение
Restoration;[ˌrɛstəˈreɪʃən];Восстановление
Disturbance;[dɪsˈtɜːbəns];Нарушение, вмешательство
Encroachment;[ɪnˈkrəʊʧmənt];Вторжение, захват, поглощение
Photosynthesis;[ˌfəʊtəʊˈsɪnθɪsɪs];Фотосинтез
Annihilation;[əˌnaɪəˈleɪʃ(ə)n];Уничтожение, разрушение, удаление
Overload;[ˈəʊvələʊd];Перегрузка
Biodiversity;[ˌbaɪəʊdaɪˈvɜːsɪti];Биологическое разнообразие
Sustenance;[ˈsʌstɪnəns];Пропитание, питание
Limestone;[ˈlaɪmstəʊn];Известняк
Sequestration;[ˌsiːkwɛsˈtreɪʃən];Секвестрация, поглощение
Wilderness;[ˈwɪldənɪs];Дикая природа
Inaccessible;[ˌɪnækˈsɛsəbl];Недоступный
Pioneering;[ˌpaɪəˈnɪərɪŋ];Новаторский, первый
Astonishing;[əsˈtɒnɪʃɪŋ];Поразительный
Eccentric;[ɪkˈsɛntrɪk];Эксцентричный, экстравагантный
Ethnographic;[ˌɛθnəʊˈgræfɪk];Этнографический
Quintessential;[ˌkwɪntɪˈsɛnʃəl];Полный, оригинальный
Colonial;[kəˈləʊniəl];Колониальный
Religious;[rɪˈlɪʤəs];Религиозный
Multi-sensory;[ˈmʌltɪ-ˈsɛnsəri];Мультисенсорный, чувственный
Life-threatening;[laɪf-ˈθrɛtnɪŋ];Опасный для жизни, угрожающий
Subsequent;[ˈsʌbsɪkwənt];Последующий, дальнейший
Uneventful;[ˌʌnɪˈvɛntfʊl];Беспристрастный
Insightful;[ˈɪnsaɪtf(ə)l];Проницательный
Apparent;[əˈpærənt];Очевидный
Disrespectful;[ˌdɪsrɪsˈpɛktfʊl];Неуважительный
Inefficient;[ˌɪnɪˈfɪʃənt];Неэффективный
Abnormal;[æbˈnɔːməl];Аномальный
Detectable;[dɪˈtɛktəbl];Обнаруживаемый, различимый, выявляемый
Cellular;[ˈsɛljʊlə];Клеточный
Counterintuitive;[kaʊntərɪnˈtjuːɪtɪv];Нелогичный, противоречивый, парадоксальный
Disparate;[ˈdɪspərɪt];Разрозненный, несопоставимый
Excessive;[ɪkˈsɛsɪv];Чрезмерный, избыточный
Detrimental;[ˌdɛtrɪˈmɛntl];Пагубный, губительный, вредный
Indecisive;[ˌɪndɪˈsaɪsɪv];Нерешительный, неопределенный, неясный
Resilient;[rɪˈzɪlɪənt];Устойчивый, упругий, эластичный
Adverse;[ˈædvɜːs];Неблагоприятный, негативный
Manageable;[ˈmænɪʤəbl];Управляемый, поддающийся, преодолимый
Ingenious;[ɪnˈʤiːniəs];Изобретательный, оригинальный
Free-roaming;[friː-ˈrəʊmɪŋ];Свободный
Harsh;[hɑːʃ];Суровый, резкий, жесткий, грубый
Warm-blooded;[wɔːm-ˈblʌdɪd];Теплокровный
Ground-breaking;[graʊnd-ˈbreɪkɪŋ];Новаторский
Uninhabitable;[ˌʌnɪnˈhæbɪtəbl];Непригодный для жизни
Hilarious;[hɪˈleərɪəs];Уморительный, веселый
Unconscious;[ʌnˈkɒnʃəs];Бессознательный, неосознанный
Reproducible;[ˌriːprəˈdjuːsəbl];Воспроизводимый
Grim;[grɪm];Мрачный, грозный
Irrefutable;[ɪˈrɛfjʊtəbl];Неопровержимый
Simplistic;[sɪmˈplɪstɪk];Упрощённый, простой, простодушный
Disastrous;[dɪˈzɑːstrəs];Катастрофический
Scarce;[skeəs];Скудный, дефицитный
Vicious;[ˈvɪʃəs];Злобный, порочный, ужасный
Head-to-tail;[hɛd-tuː-teɪl];От начала до конца
Extensively;[ɪksˈtɛnsɪvli];Широко, основательно, подробно
Mistakenly;[mɪsˈteɪkənli];Ошибочно
Initially;[ɪˈnɪʃəli];Первоначально, изначально
Remarkably;[rɪˈmɑːkəbli];Замечательно, удивительно
Broadly;[ˈbrɔːdli];Широко, обширно, значительно
Posthumously;[ˈpɒstjʊməsli];Посмертно, подспудно
Respectively;[rɪsˈpɛktɪvli];Соответственно, следовательно
Clumsily;[ˈklʌmzɪli];Неуклюже, грубо, неудачно, бестолково
Deliberately;[dɪˈlɪbərɪtli];Сознательно
Subconsciously.;[ˌsʌbˈkɒnʃəsli];Подсознательно, неосознанно
Irrespective;[ˌɪrɪsˈpɛktɪv];Независимо
Albeit;[ɔːlˈbiːɪt];Хотя, однако, несмотря
Strictly;[ˈstrɪktli];Строго, неукоснительно, жестко
Fiercely;[ˈfɪəsli];Яростно, свирепо, решительно
Arguably;[ˈɑːgjʊəbli];Спорно, предположительно
Unremittingly;[ˌʌnrɪˈmɪtɪŋli];Неослабно, решительно, безоговорочно
Justifiably;[ˈʤʌstɪfaɪəbli];Оправданно
Undeniably;[ˌʌndɪˈnaɪəbli];Неоспоримо
Candidly;[ˈkændɪdli];Откровенно, честно, искренне
Allegedly;[əˈlɛʤdli];Предположительно
Chronically;[ˈkrɒnɪk(ə)li];Хронически
Improperly;[ɪmˈprɒpəli];Неправильно, неправомерно
Unconsciously;[ʌnˈkɒnʃəsli];Бессознательно
Worrisomely;[ˈwʌrɪsəmli];Тревожно
Oftentimes;[ˈɒfntaɪmz];Нередко, зачастую, часто
Self-perpetuatingly;[sɛlf-pəˈpɛʧʊeɪtɪŋli];Самостоятельно
Radically;[ˈrædɪkəli];В корне, радикально, принципиально
Wrongfully;[ˈrɒŋfʊli];Несправедливо, ошибочно
Indisputable;[ˌɪndɪsˈpjuːtəbl];Бесспорно, неоспоримо
