To be;[tə biː];Быть
To return;[rɪˈtɜːn];Возвращаться
To hope;[həʊp];Надеяться
To explain;[ɪkˈspleɪn];Объяснять
To propose;[prəˈpəʊz];Предлагать
To develop;[dɪˈveləp];Развивать
To support;[səˈpɔːt];Поддерживать
To dance;[dɑːns];Танцевать
To draw;[drɔː];Рисовать
To book;[bʊk];Бронировать
To be afraid;[bi əˈfreɪd];Бояться
To agree;[əˈɡriː];Соглашаться
To check up;[tʃek ʌp];Проверять
To delete;[dɪˈliːt];Удалять
To choose;[tʃuːz];Выбирать
To catch;[kætʃ];Ловить
To ask;[ɑːsk];Спрашивать
To answer;[ˈɑːnsə(r)];Отвечать
To hesitate;[ˈhezɪteɪt];Cомневаться
air;[ən eə(r)];Воздух
wind;[wɪnd];Ветер
water;[ˈwɔːtə(r)];Вода
west;[west];Запад
east;[iːst];Восток
north;[nɔːθ];Север
south;[saʊθ];Юг
tree;[triː];Дерево
sea;[siː];Море
ocean;[ˈəʊʃn];Океан
rock;[rɒk];Скала
plant;[plɑːnt];Растение
flower;[ˈflaʊə(r)];Цветок
forest;[ˈfɒrɪst];Лес
person;[ˈpɜːsn];Личность
night;[naɪt];Ночь
morning;[ˈmɔːnɪŋ];Утро
day;[deɪ];День
evening;[ˈiːvnɪŋ];Вечер
life;[laɪf];Жизнь
mountain;[ˈmaʊntən];Гора
land;[lænd];Земля
house;[haʊs];Дом
fire;[ˈfaɪə(r)];Огонь
country;[ˈkʌntri];Страна
animal;[ˈænɪml];Животное
bird;[bɜːd];Птица
fish;[fɪʃ];Рыба
insect;[ˈɪnsekt];Насекомое
city;[ˈsɪti];Город
world;[wɜːld];Мир
boy;[bɔɪ];Мальчик
girl;[ɡɜːl];Девочка
mother;[ˈmʌðə(r)];Мама
father;[ˈfɑːðə(r)];Отец
son;[sʌn];Сын
daughter;[ˈdɔːtə(r)];Дочь
baby;[ˈbeɪbi];Малыш
family;[ˈfæməli];Семья
grand mother;[ɡrænd ˈməT͟Hər];Бабушка
grand father;[ɡrænd ˈfɑːðə(r)];Дедушка
children;[ˈtʃɪl.drən];Дети
home;[həʊm];Дом
love;[lʌv];Любовь
apartment;[əˈpɑːtmənt];Квартира
joy;[dʒɔɪ];Радость
nephew;[ˈnefjuː];Племянник
aunt;[ɑːnt];Тетя
uncle;[ˈʌŋkl];Дядя
cousin;[ˈkʌzn];Двоюродная сестра или брат
man;[mæn];Мужчина
woman;[ˈwʊmən];Женщина
child;[tʃaɪld];Ребенок
sister;[ˈsɪstə(r)];Сестра
brother;[ˈbrʌðə(r)];Брат
Relatives;[ˈrel.ə.tɪv];Родственники
friend;[frend];Друг
wife;[waɪf];Жена
husband;[ˈhʌzbənd];Муж
address;[əˈdres];Адрес
happiness;[ˈhæp.i.nəs];Счастье
People;[ˈpiːpl];Люди
Afraid;[əˈfreɪd];Напуганный
Angry;[ˈæŋɡri];Сердитый
Asleep;[əˈsliːp];Спящий
Attentive;[əˈten.tɪv];Внимательный
Available;[əˈveɪləbl];Доступный
Basic;[ˈbeɪsɪk];Базовый
Beautiful;[ˈbjuːtɪfl];Красивый
Big;[bɪɡ];Большой
Brave;[breɪv];Смелый
Busy;[ˈbɪzi];Занятой
Calm;[kɑːm];Спокойный
Careful;[ˈkeəfl];Внимательный, заботливый
Cheap;[tʃiːp];Дешевый
Clean;[kliːn];Чистый
Clever;[ˈklevə(r)];Умный
Cold;[kəʊld];Холодный
Comfortable;[ˈkʌmftəbl];Комфортный
Confident;[ˈkɒnfɪdənt];Уверенный
Constant;[ˈkɒnstənt];Постоянный
Curious;[ˈkjʊəriəs];Любопытный
Dangerous;[ˈdeɪndʒərəs];Опасный
Dark;[dɑːk];Темный
Deep;[diːp];Глубокий
Different;[ˈdɪfrənt];Разный
Difficult;[ˈdɪfɪkəlt];Трудный
Dirty;[ˈdɜːti];Грязный
Easy;[ˈiːzi];Легкий
Every;[ˈevri];Каждый
Expensive;[ɪkˈspensɪv];Дорогой
Exact;[ɪɡˈzækt];Точный
Fast;[fɑːst];Быстрый
Fair;[feə(r)];Честный, светлый
Fine;[faɪn];Замечательный
Foreign;[ˈfɒrən];Иностранный
Free;[friː];Свободный
Fresh;[freʃ];Свежий
Full;[fʊl];Полный
Funny;[ˈfʌni];Забавный
Guilty;[ˈɡɪlti];Виновный
Healthy;[ˈhelθi];Здоровый
Hard;[hɑːd];Тяжелый
Helpful;[ˈhelpfl];Полезный
Honest;[ˈɒnɪst];Честный
Hot;[hɒt];Горячий
Hungry;[ˈhʌŋɡri];Голодный
Important;[ɪmˈpɔːtnt];Важный
Illegal;[ɪˈliːɡl];Нелегальный, незаконный
Impossible;[ɪmˈpɒsəbl];Невозможный
Independent;[ˌɪndɪˈpendənt];Независимый
Interesting;[ˈɪntrəstɪŋ];Интересный
Kind;[kaɪnd];Добрый
Legal;[ˈliːɡl];Законный
Little;[ˈlɪtl];Маленький
Lucky;[ˈlʌki];Удачливый
Necessary;[ˈnesəsəri];Необходимый
Normal;[ˈnɔːml];Нормальный
Old;[əʊld];Старый
Opposite;[ˈɒpəzɪt];Противоположный
Perfect;[pəˈfekt];Идеальный
Poor;[pɔː(r)];Бедный
Powerful;[ˈpaʊəfl];Мощный
Possible;[ˈpɒsəbl];Возможный
Quiet;[ˈkwaɪət];Тихий
Rare;[reə(r)];Редкий
Recent;[ˈriːsnt];Недавний
Relevant;[ˈreləvənt];Релевантный, актуальный
Remote;[rɪˈməʊt];Удаленный
Safe;[seɪf];Безопасный
Short;[ʃɔːt];Короткий
Small;[smɔːl];Маленький
Strange;[streɪndʒ];Странный, незнакомый, чужой
Successful;[səkˈsesfl];Успешный
Tasty;[ˈteɪ.sti];Вкусный, приятный
Terrible;[ˈterəbl];Жуткий
Tired;[ˈtaɪəd];Усталый
Warm;[wɔːm];Теплый
Weak;[wiːk];Слабый
Responsible;[rɪˈspɒnsəbl];Ответственный, надежный
Sad;[sæd];Грустный
International;[ˌɪntəˈnæʃnəl];Международный
phone;[fəʊn];Телефон
question;[ˈkwestʃən];Вопрос
place;[pleɪs];Место
market;[ˈmɑːkɪt];Рынок
order;[ˈɔːdə(r)];Заказ
food;[fuːd];Еда
work;[wɜːk];Работа
communication;[kəˌmjuːnɪˈkeɪʃn];Общение
story;[ˈstɔːri];История
relax;[rɪˈlæks];Отдых
time;[taɪm];Время
word;[wɜːd];Слово
dialogue;[ˈdaɪ.ə.lɒɡ];Диалог
meeting;[ˈmiːtɪŋ];Встреча
week;[wiːk];Неделя
distance;[ˈdɪstəns];Дистанция
club;[klʌb];Клуб
theatre;[ˈθɪətə(r)];Театр
cinema;[ˈsɪnəmə];Кинотеатр
coffee shop;[ˈkɒfi ʃɒp];Кофейня
friendship;[ˈfrendʃɪp];Дружба
behavior;[bɪˈheɪ.vjər];Поведение
attitude;[ˈætɪtjuːd];Отношение
student;[ˈstjuːdnt];Студент
university;[ˌjuːnɪˈvɜːsəti];Университет
union;[ˈjuːniən];Объединение
party;[ˈpɑːti];Вечеринка
date;[deɪt];Свидание
sweetheart;[ˈswiːt.hɑːt];Партнер, возлюбленный
leisure time;[ˈleʒ.ər taɪm];Досуг
road;[rəʊd];Дорога
ticket;[ˈtɪkɪt];Билет
map;[mæp];Карта
motel;[məʊˈtel];Мотель
highway;[ˈhaɪweɪ];Шоссе
reception;[rɪˈsepʃn];Регистратура, ресепшн
wallet;[ˈwɒlɪt];Бумажник
bank;[bæŋk];Банк
subway;[ˈsʌb.weɪ];Метро
cab;[kæb];Такси
parking;[ˈpɑː.kɪŋ];Парковка
food order;[fuːd ˈɔːdə(r)];Заказ еды
cash;[kæʃ];Наличные
passport;[ˈpɑːspɔːt];Паспорт
permission;[pəˈmɪʃn];Разрешение
lawyer;[ˈlɔːjə(r)];Адвокат
problem;[ˈprɒbləm];Проблема
waiting room;[weɪtin: ruːm];Зал ожидания
transfer;[trænsˈfɜː(r)];Пересадка
bag;[bæɡ];Сумка
suitcase;[ˈsuːtkeɪs];Чемодан
property;[ˈprɒpəti];Имущество
law;[lɔː];Право, закон
police station;[pəˈliːs ˈsteɪʃn];Полицейский участок
price;[praɪs];Стоимость, цена
price list;[praɪs lɪst];Ценник
courier;[ˈkʊr.i.ər];Курьер
delivery;[dɪˈlɪvəri];Доставка
location;[ləʊˈkeɪʃn];Местоположение
route;[ruːt];Маршрут
agreement;[əˈɡriːmənt];Договор
hospital;[ˈhɒspɪtl];Больница
ambulance;[ˈæmbjələns];Скорая помощь
Together;[təˈɡeðə(r)];Вместе
According;[əˈkɔːdɪŋ];В соответствии
Again;[əˈɡen];Снова
Always;[ˈɔːlweɪz];Всегда
Beautifully;[ˈbjuːtɪfli];Красиво
Carefully;[ˈkeə.fəl.i];Осторожно
Correctly;[kəˈrektli];Верно, правильно
Especially;[ɪˈspeʃəli];Особенно
Friendly;[ˈfrendli];Дружелюбно
Indeed;[ɪnˈdiːd];Действительно
Above;[əˈbʌv];Выше
Accidentally;[ˌæk.sɪˈden.təl.i];Случайно
Actually;[ˈæktʃuəli];На самом деле
Badly;[ˈbædli];Плохо
Besides;[bɪˈsaɪdz];Помимо этого
Briefly;[ˈbriːfli];Кратко
Certainly;[ˈsɜːtnli];Конечно
Daily;[ˈdeɪli];Ежедневно
Dreamily;[ˈdriː.mɪ.li];Мечтательно
Even;[ˈiːvn];Даже
Eventually;[ɪˈventʃuəli];В конце концов
Foolishly;[ˈfuːlɪʃli];Глупо
Forward;[ˈfɔːwəd];Вперед
Ever;[ˈevə(r)];Когда-либо
Equally;[ˈiːkwəli];Одинаково
Fortunately;[ˈfɔː.tʃən.ət.li];К счастью
Honestly;[ˈɒnɪstli];Честно
Instead;[ɪnˈsted];Вместо
Inside;[ˌɪnˈsaɪd];Внутри
Also;[ˈɔːlsəʊ];Также
Hardly;[ˈhɑːdli];С трудом
Lately;[ˈleɪt.li];Недавно
Less;[les];Меньше
Loudly;[ˈlaʊd.li];Громко, шумно
Nearly;[ˈnɪəli];Около
Never;[ˈnevə(r)];Никогда
Only;[ˈəʊnli];Только
Once;[wʌns];Один раз
Often;[ˈɒfn];Часто
Perhaps;[pəˈhæps];Возможно
Quickly;[ˈkwɪkli];Быстро
Probably;[ˈprɒbəbli];Вероятно
Rarely;[ˈreəli];Редко
Really;[ˈriːəli];Действительно
Sometimes;[ˈsʌmtaɪmz];Иногда
Yesterday;[ˈjestədeɪ];Вчера
Thus;[ðʌs];Таким образом
Somehow;[ˈsʌmhaʊ];Как-то
Soon;[suːn];Скоро
Regularly;[ˈreɡjələli];Регулярно
Somewhere;[ˈsʌmweə(r)];Где-то
